Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs",Name,"Public channels, single-workspace","Messages posted"
2019-09-07,7,7,0,4,2,4,2,8,0,0,0,1,0,0,0.9189,0,0.0811,0,6,11
2019-09-08,9,9,0,4,1,7,3,2,0,0,0,1,0,0,0.9412,0,0.0588,0,6,15
2019-09-09,9,9,0,6,5,8,5,10,0,0,0,1,0,0,0.9756,0,0.0244,0,6,25
2019-09-10,9,9,0,7,2,9,6,17,0,0,3,0.85,0,0.15,0.9074,0,0.0926,0,6,46
2019-09-11,9,9,0,4,3,9,6,7,0,0,0,1,0,0,0.9677,0,0.0323,0,6,56
2019-09-12,17,17,0,16,11,17,13,38,0,0,12,0.76,0,0.24,0.8724,0,0.1276,0,7,114
2019-09-13,17,17,0,12,7,17,13,18,0,0,5,0.7826,0,0.2174,0.9022,0,0.0978,0,7,152
2019-09-14,17,17,0,11,7,16,14,24,0,0,4,0.8571,0,0.1429,0.9157,0,0.0843,0,7,181
2019-09-15,17,17,0,11,4,16,14,9,0,0,4,0.6923,0,0.3077,0.8776,0,0.1224,0,7,194
2019-09-16,17,17,0,15,7,16,14,78,0,0,89,0.4671,0,0.5329,0.6722,0,0.3278,0,7,366
2019-09-17,17,17,0,15,10,16,15,42,0,0,76,0.3559,0,0.6441,0.6683,0,0.3317,0,7,488
2019-09-18,17,17,0,10,4,16,15,3,0,0,25,0.1071,0,0.8929,0.5169,0,0.4831,0,7,517
2019-09-19,17,17,0,11,4,16,12,5,0,0,1,0.8333,0,0.1667,0.95,0,0.05,0,7,524
2019-09-20,17,17,0,6,1,16,11,1,0,0,0,1,0,0,1,0,0,0,7,525
2019-09-21,17,17,0,6,0,16,11,0,0,0,0,0,0,0,1,0,0,0,7,525
2019-09-22,17,17,0,3,0,16,11,0,0,0,0,0,0,0,1,0,0,0,7,525
2019-09-23,17,17,0,11,5,15,11,14,0,0,11,0.56,0,0.44,0.8646,0,0.1354,0,7,550
2019-09-24,17,17,0,14,11,16,12,23,0,0,50,0.3151,0,0.6849,0.6129,0,0.3871,0,7,625
2019-09-25,17,17,0,14,10,16,13,36,0,0,36,0.5,0,0.5,0.73,0,0.27,0,7,703
2019-09-26,17,17,0,12,7,16,14,17,0,0,9,0.6538,0,0.3462,0.8926,0,0.1074,0,7,730
2019-09-27,17,17,0,7,6,16,14,4,0,0,11,0.2667,0,0.7333,0.6585,0,0.3415,0,7,745
2019-09-28,17,17,0,8,7,16,14,12,0,0,35,0.2553,0,0.7447,0.4356,0,0.5644,0,7,792
2019-09-29,17,17,0,6,1,16,14,0,0,0,2,0,0,1,0.9655,0,0.0345,0,7,794
2019-09-30,17,17,0,13,8,16,14,12,0,0,53,0.1846,0,0.8154,0.3907,0,0.6093,0,7,859
2019-10-01,17,17,0,13,11,16,14,28,0,0,43,0.3944,0,0.6056,0.622,0,0.378,0,7,938
2019-10-02,17,17,0,14,11,16,12,51,0,0,53,0.4904,0,0.5096,0.7351,0,0.2649,0,7,1059
2019-10-03,17,17,0,16,12,16,15,37,0,0,116,0.2418,0,0.7582,0.5,0,0.5,0,7,1225
2019-10-04,17,17,0,11,6,16,15,10,0,0,11,0.4762,0,0.5238,0.7324,0,0.2676,0,7,1246
2019-10-05,17,17,0,9,1,16,15,1,0,0,0,1,0,0,0.913,0,0.087,0,7,1247
2019-10-06,17,17,0,11,3,16,15,4,0,0,0,1,0,0,0.9688,0,0.0313,0,7,1252
2019-10-07,17,17,0,12,8,16,15,20,0,0,0,1,0,0,1,0,0,0,7,1273
2019-10-08,17,17,0,16,6,16,15,10,0,0,5,0.6667,0,0.3333,0.9245,0,0.0755,0,7,1287
2019-10-09,17,17,0,14,7,16,14,12,0,0,45,0.2105,0,0.7895,0.555,0,0.445,0,7,1348
2019-10-10,17,17,0,15,9,16,15,26,0,0,30,0.4643,0,0.5357,0.6798,0,0.3202,0,7,1407
2019-10-11,17,17,0,11,3,16,15,2,0,0,26,0.0714,0,0.9286,0.5059,0,0.4941,0,7,1435
2019-10-12,17,17,0,10,4,16,16,7,0,0,1,0.875,0,0.125,0.9189,0,0.0811,0,7,1443
2019-10-13,17,17,0,11,8,16,16,22,0,0,41,0.3492,0,0.6508,0.6758,0,0.3242,0,7,1509
2019-10-14,17,17,0,15,9,16,15,23,0,0,19,0.5476,0,0.4524,0.7862,0,0.2138,0,7,1552
2019-10-15,17,17,0,16,12,16,15,71,0,0,12,0.8554,0,0.1446,0.8802,0,0.1198,0,7,1640
2019-10-16,17,17,0,15,12,16,15,37,0,0,92,0.2868,0,0.7132,0.5092,0,0.4908,0,7,1773
2019-10-17,17,17,0,13,8,16,15,25,0,0,0,1,0,0,1,0,0,0,7,1803
2019-10-18,17,17,0,11,6,16,15,8,0,0,32,0.2,0,0.8,0.4649,0,0.5351,0,7,1845
2019-10-19,17,17,0,11,7,16,15,12,0,0,37,0.2449,0,0.7551,0.4188,0,0.5812,0,7,1896
2019-10-20,17,17,0,15,11,16,15,56,0,0,75,0.4275,0,0.5725,0.6405,0,0.3595,0,7,2037
2019-10-21,17,17,0,15,12,16,15,96,0,0,225,0.2991,0,0.7009,0.4229,0,0.5771,0,7,2386
2019-10-22,17,17,0,13,10,16,14,33,0,0,99,0.25,0,0.75,0.5144,0,0.4856,0,7,2522
2019-10-23,17,17,0,14,8,16,14,10,0,0,9,0.5263,0,0.4737,0.8269,0,0.1731,0,7,2542
2019-10-24,17,17,0,13,10,16,15,21,0,0,21,0.5,0,0.5,0.75,0,0.25,0,7,2584
2019-10-25,17,17,0,13,10,16,15,20,0,0,7,0.7407,0,0.2593,0.8661,0,0.1339,0,7,2611
2019-10-26,17,17,0,12,8,16,15,14,0,0,5,0.7368,0,0.2632,0.9041,0,0.0959,0,7,2631
2019-10-27,17,17,0,13,5,16,15,17,0,0,4,0.8095,0,0.1905,0.8553,0,0.1447,0,7,2653
2019-10-28,17,17,0,14,9,15,15,31,0,0,13,0.7045,0,0.2955,0.8693,0,0.1307,0,7,2700
2019-10-29,17,17,0,14,11,16,15,13,0,0,16,0.4483,0,0.5517,0.7434,0,0.2566,0,7,2728
2019-10-30,17,17,0,14,12,16,15,40,0,0,38,0.5128,0,0.4872,0.7751,0,0.2249,0,7,2808
